RT_UNIQUE,RT_DESCR,CNTY_NAME,D_GOV_LEVEL,GOV_LEVEL,SPEEDLIM,MILES,D_DISTRICT
059-CS-2043  -000,WEST 12TH ST,Kenton,City Maintained Roads,04,15.0,0.173,Covington
008-KY-0020  -000,PETERSBURG RD,Boone,State Maintained Roads,01,55.0,5.786,Covington
059-KY-2047  -000,SENOUR RD,Kenton,State Maintained Roads,01,35.0,1.394,Covington
059-CS-4061  -000,THOMAS MORE PKWY,Kenton,City Maintained Roads,04,35.0,0.668,Covington
008-CR-1016J -000,CAYTON RD,Boone,County Maintained Roads,02,35.0,0.518,Covington
019-KY-0008  -000,MARY INGLES HWY,Campbell,State Maintained Roads,01,40.0,1.403,Covington
059-CS-8039  -000,OLD TAYLOR MILL RD,Kenton,City Maintained Roads,04,35.0,1.218,Covington
019-US-0027  -000,ALEXANDRIA PIKE+MONMOUTH ST,Campbell,State Maintained Roads,01,35.0,5.203,Covington
059-CS-2004  -000,EAST 3RD ST,Kenton,City Maintained Roads,04,25.0,0.174,Covington
059-KY-3716  -000,WAYMAN BRANCH RD,Kenton,State Maintained Roads,01,35.0,1.771,Covington
059-KY-0236  -000,DONALDSON RD,Kenton,State Maintained Roads,01,45.0,0.524,Covington
059-CS-3222  -000,BAKER ST,Kenton,City Maintained Roads,04,35.0,0.093,Covington
008-KY-3076  -000,MINEOLA PIKE,Boone,State Maintained Roads,01,45.0,0.821,Covington
019-KY-0915  -000,LICKING PIKE,Campbell,State Maintained Roads,01,55.0,7.5,Covington
059-I -0275  -000,I-275,Kenton,State Maintained Roads,01,65.0,6.201,Covington
019-KY-0547  -000,FOUR MILE RD,Campbell,State Maintained Roads,01,25.0,0.309,Covington
019-CS-3045  -000,SEVENTH AVE,Campbell,City Maintained Roads,04,25.0,0.086,Covington
059-KY-2373  -000,ERLANGER-CRESCENT SPRINGS RD,Kenton,State Maintained Roads,01,45.0,0.32,Covington
059-CS-6140  -000,AMSTERDAM RD,Kenton,City Maintained Roads,04,35.0,1.039,Covington
008-CS-1214  -000,GIRARD ST,Boone,City Maintained Roads,04,25.0,0.259,Covington
059-CS-3123  -000,BRIGHTLEAF BLVD,Kenton,City Maintained Roads,04,35.0,0.377,Covington
059-CR-1072  -000,HIGHWATER RD,Kenton,County Maintained Roads,02,35.0,1.827,Covington
059-CS-2136  -000,GREENUP ST,Kenton,City Maintained Roads,04,25.0,0.767,Covington
019-KY-0547  -000,FOUR MILE RD,Campbell,State Maintained Roads,01,35.0,2.678,Covington
008-KY-0536  -000,MT ZION RD,Boone,State Maintained Roads,01,45.0,2.251,Covington
059-CS-1045  -000,CODY RD,Kenton,City Maintained Roads,04,35.0,2.33,Covington
019-CS-1075  -000,W 12TH ST,Campbell,City Maintained Roads,04,35.0,0.081,Covington
059-KY-3070  -000,HOWARD LITZLER DR,Kenton,State Maintained Roads,01,35.0,0.101,Covington
008-KY-0236  -000,DONALDSON HWY,Boone,State Maintained Roads,01,45.0,1.746,Covington
019-KY-0008X -000,WASHINGTON AVE+DAVE COWENS DR+FAIRFIELD AVE,Campbell,State Maintained Roads,01,35.0,0.732,Covington
019-KY-0471  -000,KY-471,Campbell,State Maintained Roads,01,55.0,0.508,Covington
008-KY-0338  -000,IDLEWILD RD,Boone,State Maintained Roads,01,55.0,4.168,Covington
059-KY-0177  -000,DECOURSEY PIKE,Kenton,State Maintained Roads,01,35.0,0.963,Covington
059-CS-5079  -000,GARVEY AVE,Kenton,City Maintained Roads,04,20.0,0.96,Covington
059-CS-7091  -000,ROYAL DR,Kenton,City Maintained Roads,04,25.0,0.653,Covington
019-KY-2926  -000,WINTERS LN,Campbell,State Maintained Roads,01,20.0,1.401,Covington
059-KY-1930  -000,WHITES RD+LOCUST PIKE,Kenton,State Maintained Roads,01,35.0,2.712,Covington
059-US-0025  -000,PIKE ST+MAIN ST,Kenton,State Maintained Roads,01,30.0,1.061,Covington
008-CR-1042A -000,LIMABURG RD,Boone,County Maintained Roads,02,45.0,3.219,Covington
019-KY-2238  -000,UNIVERSITY DR+THREE MILE RD,Campbell,State Maintained Roads,01,45.0,0.867,Covington
008-KY-0018  -000,BURLINGTON PIKE+WASHINGTON ST+BURLINGTON PIKE,Boone,State Maintained Roads,01,35.0,1.64,Covington
019-CS-1022  -000,WASHINGTON AVE,Campbell,City Maintained Roads,04,25.0,0.713,Covington
008-KY-0842  -000,HOPEFUL CHURCH RD,Boone,State Maintained Roads,01,40.0,2.192,Covington
019-KY-0009  -000,LICKING PIKE,Campbell,State Maintained Roads,01,55.0,2.06,Covington
059-KY-0017  -001,SCOTT ST,Kenton,State Maintained Roads,01,25.0,0.825,Covington
059-KY-2047  -000,KLETTE RD+MARSHALL RD,Kenton,State Maintained Roads,01,35.0,2.587,Covington
019-KY-2405  -000,KY-2405+NORSE BLVD,Campbell,State Maintained Roads,01,45.0,1.07,Covington
059-KY-1486  -000,FOWLER CREEK RD,Kenton,State Maintained Roads,01,35.0,4.443,Covington
059-KY-0371  -000,BUTTERMILK PIKE,Kenton,State Maintained Roads,01,35.0,1.59,Covington
019-KY-1120  -000,E 10TH ST+MEMORIAL PKWY,Campbell,State Maintained Roads,01,35.0,0.849,Covington
059-CS-2071  -000,WEST 8TH ST,Kenton,City Maintained Roads,04,25.0,0.171,Covington
008-KY-0020  -000,PETERSBURG RD,Boone,State Maintained Roads,01,35.0,0.601,Covington
059-KY-3716  -000,TAYLOR MILL RD,Kenton,State Maintained Roads,01,35.0,2.849,Covington
008-KY-0338  -000,EAST BEND RD,Boone,State Maintained Roads,01,45.0,1.67,Covington
019-KY-0445  -000,MARY INGLES HWY+RIVER RD,Campbell,State Maintained Roads,01,35.0,2.141,Covington
059-CS-2216  -000,EAST 7TH ST,Kenton,City Maintained Roads,04,25.0,0.176,Covington
019-US-0027  -000,MONMOUTH ST,Campbell,State Maintained Roads,01,25.0,0.719,Covington
059-CS-2010  -000,E RIVERCENTER BLVD,Kenton,City Maintained Roads,04,25.0,0.086,Covington
059-KY-2045  -000,COX RD,Kenton,State Maintained Roads,01,35.0,0.711,Covington
059-KY-2373  -000,ERLANGER-CRESCENT SPRINGS RD+ANDERSON RD+BROMLEY-CRESCENT SPRINGS RD,Kenton,State Maintained Roads,01,35.0,3.289,Covington
008-KY-3147  -000,OHARA RD,Boone,State Maintained Roads,01,35.0,0.6,Covington
059-CS-3232  -000,AUTUMN RD,Kenton,City Maintained Roads,04,20.0,0.103,Covington
059-CR-1317  -000,AMSTERDAM EAST RD,Kenton,County Maintained Roads,02,25.0,0.139,Covington
019-KY-0008  -000,W 4TH ST+W 3RD ST,Campbell,State Maintained Roads,01,30.0,0.683,Covington
008-KY-0237  -000,NORTH BEND RD,Boone,State Maintained Roads,01,55.0,3.9,Covington
019-CS-3085  -000,DAYTON PIKE,Campbell,City Maintained Roads,04,25.0,0.716,Covington
019-CS-2033  -000,GLAZIER AVE,Campbell,City Maintained Roads,04,25.0,0.214,Covington
019-KY-0709  -000,E ALEXANDRIA PIKE,Campbell,State Maintained Roads,01,45.0,0.476,Covington
059-CS-2627  -000,W RIVERCENTER BLVD,Kenton,City Maintained Roads,04,25.0,0.236,Covington
008-KY-0018  -000,MCVILLE RD+BURLINGTON PIKE,Boone,State Maintained Roads,01,35.0,1.232,Covington
019-CS-1038  -000,E 5TH ST,Campbell,City Maintained Roads,04,30.0,0.178,Covington
059-KY-0016  -000,WINSTON AVE+DECOURSEY AVE,Kenton,State Maintained Roads,01,25.0,0.315,Covington
059-KY-0177  -000,DECOURSEY PIKE,Kenton,State Maintained Roads,01,45.0,2.471,Covington
019-KY-0547  -000,RILEY RD+FOUR MILE RD,Campbell,State Maintained Roads,01,35.0,1.0,Covington
059-KY-0842  -000,RICHARDSON RD,Kenton,State Maintained Roads,01,40.0,0.264,Covington
008-KY-0495  -000,GRAVES RD,Boone,State Maintained Roads,01,45.0,2.206,Covington
019-CS-4181  -000,COVERT RUN PIKE,Campbell,City Maintained Roads,04,25.0,0.435,Covington
019-US-0027  -000,ALEXANDRIA PIKE,Campbell,State Maintained Roads,01,40.0,1.748,Covington
008-KY-0237  -000,PLEASANT VALLEY RD,Boone,State Maintained Roads,01,45.0,2.457,Covington
019-KY-0008X -000,FOURTH AVE,Campbell,State Maintained Roads,01,35.0,0.339,Covington
019-KY-6335  -000,MARY INGLES HWY,Campbell,State Maintained Roads,01,35.0,0.584,Covington
008-CS-1286  -000,NEW BUFFINGTON,Boone,City Maintained Roads,04,35.0,0.444,Covington
008-KY-2847  -000,EMPIRE DR,Boone,State Maintained Roads,01,35.0,0.726,Covington
019-KY-1566  -000,ONEONTA RD,Campbell,State Maintained Roads,01,55.0,1.809,Covington
059-US-0025  -000,DIXIE HWY,Kenton,State Maintained Roads,01,45.0,0.632,Covington
008-PR-1012  -000,SOUTH AIRFIELD DR,Boone,Private Roads,26,45.0,1.083,Covington
059-KY-3148  -000,OLD MADISON PIKE,Kenton,State Maintained Roads,01,35.0,0.35,Covington
019-CS-1006  -000,PARK AVE,Campbell,City Maintained Roads,04,25.0,0.094,Covington
059-KY-0017  -000,MADISON PIKE,Kenton,State Maintained Roads,01,55.0,2.224,Covington
008-KY-0018  -000,BURLINGTON PIKE,Boone,State Maintained Roads,01,45.0,1.407,Covington
059-KY-0017X -000,MADISON PIKE,Kenton,State Maintained Roads,01,35.0,1.274,Covington
059-KY-1120  -000,WEST MARTIN LUTHER KING JR BLVD+EAST MARTIN LUTHER KING JR BLVD,Kenton,State Maintained Roads,01,30.0,1.145,Covington
008-CR-1056  -000,CONRAD LN,Boone,County Maintained Roads,02,35.0,1.223,Covington
059-CS-2203  -000,SCOTT ST,Kenton,City Maintained Roads,04,25.0,0.752,Covington
059-CS-6150  -000,VALLEY TRAILS DR,Kenton,City Maintained Roads,04,20.0,0.899,Covington
059-CS-5548  -000,RHINE VALLEY LN,Kenton,City Maintained Roads,04,25.0,0.29,Covington
059-XX-1303  -000,TURKEYFOOT RD,Kenton,State Maintained Roads,01,35.0,0.113,Covington
008-CR-1311  -000,OLD GRAVES RD,Boone,County Maintained Roads,02,35.0,0.309,Covington
059-CS-2103  -000,MADISON AVE,Kenton,City Maintained Roads,04,25.0,0.844,Covington
059-KY-1829  -000,INDUSTRIAL RD,Kenton,State Maintained Roads,01,45.0,1.024,Covington
019-KY-0009  -000,LOWELL ST,Campbell,State Maintained Roads,01,25.0,0.892,Covington
059-CS-2027  -000,EAST 8TH ST,Kenton,City Maintained Roads,04,25.0,0.176,Covington
008-KY-0338  -000,BEAVER RD+EAST BEND RD,Boone,State Maintained Roads,01,55.0,9.816,Covington
008-KY-1017  -000,AERO PKWY+TURFWAY RD,Boone,State Maintained Roads,01,45.0,3.984,Covington
059-KY-1120  -001,EAST 11TH ST+PROSPECT ST,Kenton,State Maintained Roads,01,30.0,0.447,Covington
019-CS-2003  -000,DONNERMEYER BLVD,Campbell,City Maintained Roads,04,25.0,0.215,Covington
019-KY-2924  -000,TOLLGATE RD,Campbell,State Maintained Roads,01,35.0,0.885,Covington
059-CS-5075  -000,NEW BUFFINGTON RD,Kenton,City Maintained Roads,04,35.0,0.689,Covington
019-CR-1316  -000,DODSWORTH LN,Campbell,County Maintained Roads,02,35.0,1.342,Covington
059-CS-9054  -000,ASHWOOD CIR,Kenton,City Maintained Roads,04,25.0,0.098,Covington
019-KY-1120  -000,MEMORIAL PKWY+N FT THOMAS AVE+S FT THOMAS AVE,Campbell,State Maintained Roads,01,25.0,2.267,Covington
008-CR-1011  -000,OAKBROOK RD,Boone,County Maintained Roads,02,35.0,2.63,Covington
059-CS-2326  -000,MONTAGUE RD,Kenton,City Maintained Roads,04,25.0,0.199,Covington
008-KY-0020  -000,PETERSBURG RD,Boone,State Maintained Roads,01,45.0,0.409,Covington
019-I -0471  -000,I-471,Campbell,State Maintained Roads,01,65.0,4.701,Covington
059-CS-1560  -000,ADELA AVE,Kenton,City Maintained Roads,04,20.0,0.612,Covington
019-US-0027  -000,ALEXANDRIA PIKE,Campbell,State Maintained Roads,01,45.0,1.686,Covington
059-CS-2468  -000,WEST 43RD ST,Kenton,City Maintained Roads,04,25.0,0.345,Covington
059-CS-3868  -000,WESTERN RESERVE RD,Kenton,City Maintained Roads,04,25.0,0.552,Covington
008-KY-3503  -000,EMPIRE CONN+EMPIRE DR,Boone,State Maintained Roads,01,35.0,0.981,Covington
059-KY-2373  -000,KENTON LANDS RD,Kenton,State Maintained Roads,01,25.0,0.445,Covington
059-KY-0008  -000,RIVER RD+PIKE ST,Kenton,State Maintained Roads,01,40.0,1.56,Covington
059-KY-0536  -000,MOUNT ZION RD,Kenton,State Maintained Roads,01,45.0,0.751,Covington
059-I -0075  -000,I-75,Kenton,State Maintained Roads,01,55.0,7.977,Covington
008-KY-0237  -000,NORTH BEND RD,Boone,State Maintained Roads,01,55.0,0.284,Covington
008-I -0075  -000,I-75,Boone,State Maintained Roads,01,65.0,3.712,Covington
019-CS-2089  -000,BONNIE LESLIE AVE,Campbell,City Maintained Roads,04,20.0,0.212,Covington
