RT_UNIQUE,RT_DESCR,CNTY_NAME,D_GOV_LEVEL,GOV_LEVEL,SPEEDLIM,MILES,D_DISTRICT
059-CS-2171  -000,WEST 19TH ST,Kenton,City Maintained Roads,04,25.0,0.348,Covington
059-CS-2097  -000,WEST 15TH ST,Kenton,City Maintained Roads,04,25.0,0.176,Covington
059-KY-1486C -000,FOWLER CREEK RD CONN,Kenton,State Maintained Roads,01,45.0,0.22,Covington
008-US-0042  -000,US-42,Boone,State Maintained Roads,01,45.0,2.077,Covington
019-KY-2238  -000,THREE MILE RD,Campbell,State Maintained Roads,01,35.0,1.153,Covington
008-CR-1311  -000,OLD GRAVES RD,Boone,County Maintained Roads,02,35.0,0.115,Covington
019-KY-0010  -000,E MAIN ST+FLAGG SPRINGS PIKE,Campbell,State Maintained Roads,01,55.0,10.785,Covington
008-CR-1001  -000,CAMP ERNST RD,Boone,County Maintained Roads,02,35.0,4.108,Covington
059-KY-0371  -000,BUTTERMILK PIKE+COLLINS RD,Kenton,State Maintained Roads,01,40.0,1.129,Covington
059-KY-0017  -000,MADISON AVE,Kenton,State Maintained Roads,01,25.0,0.747,Covington
008-KY-0842  -000,HOUSTON RD,Boone,State Maintained Roads,01,45.0,2.57,Covington
019-KY-1120  -000,MEMORIAL PKWY,Campbell,State Maintained Roads,01,45.0,1.315,Covington
019-KY-0008  -000,MARY INGLES HWY,Campbell,State Maintained Roads,01,45.0,1.328,Covington
008-KY-0020  -000,PETERSBURG RD,Boone,State Maintained Roads,01,45.0,1.111,Covington
019-CS-1248  -000,PAVILION PKWY,Campbell,City Maintained Roads,04,20.0,0.6,Covington
059-KY-1120  -001,RUSSELL ST+WEST 11TH ST,Kenton,State Maintained Roads,01,25.0,0.138,Covington
059-CS-4150  -000,HORSEBRANCH RD,Kenton,City Maintained Roads,04,35.0,0.356,Covington
059-CS-9004  -000,AMSTERDAM RD,Kenton,City Maintained Roads,04,25.0,1.124,Covington
059-CS-2022  -000,EAST 6TH ST,Kenton,City Maintained Roads,04,25.0,0.176,Covington
019-US-0027  -000,MONMOUTH ST+E 3RD ST+TAYLOR-SOUTHGATE BRG,Campbell,State Maintained Roads,01,30.0,0.582,Covington
059-KY-0236  -000,STEVENSON RD,Kenton,State Maintained Roads,01,30.0,1.436,Covington
008-KY-0338  -000,EAST BEND RD+JEFFERSON ST+IDLEWILD RD,Boone,State Maintained Roads,01,35.0,1.93,Covington
059-CS-2406  -000,WEST SOUTHERN AVE,Kenton,City Maintained Roads,04,25.0,0.383,Covington
019-US-0027  -000,ALEXANDRIA PIKE,Campbell,State Maintained Roads,01,45.0,0.515,Covington
059-CS-1057  -000,TROOPERS XING,Kenton,City Maintained Roads,04,20.0,0.449,Covington
059-KY-3035  -000,MADISON PIKE,Kenton,State Maintained Roads,01,35.0,0.41,Covington
019-CS-2034  -000,WILSON RD,Campbell,City Maintained Roads,04,20.0,0.149,Covington
008-KY-3159  -000,TED BUSHELMAN BLVD,Boone,State Maintained Roads,01,45.0,0.652,Covington
059-CS-3013  -000,RIGGS AVE,Kenton,City Maintained Roads,04,25.0,0.856,Covington
059-KY-0842  -000,HOUSTON RD,Kenton,State Maintained Roads,01,45.0,0.061,Covington
019-KY-0547  -000,FOUR MILE RD,Campbell,State Maintained Roads,01,45.0,1.43,Covington
019-KY-1632  -000,MOOCK RD,Campbell,State Maintained Roads,01,35.0,1.66,Covington
059-KY-0177  -000,DECOURSEY PIKE,Kenton,State Maintained Roads,01,55.0,2.186,Covington
019-US-0027  -000,ALEXANDRIA PIKE,Campbell,State Maintained Roads,01,45.0,0.398,Covington
059-KY-3035  -000,MADISON PIKE,Kenton,State Maintained Roads,01,45.0,1.925,Covington
019-CS-1038  -000,E 5TH ST,Campbell,City Maintained Roads,04,25.0,0.085,Covington
019-CS-4242  -000,TOWER HILL RD,Campbell,City Maintained Roads,04,25.0,0.691,Covington
019-KY-6335  -000,MARY INGLES HWY,Campbell,State Maintained Roads,01,45.0,4.052,Covington
008-PR-1012  -000,SOUTH AIRFIELD DR,Boone,Private Roads,26,30.0,0.317,Covington
059-KY-2045  -000,MCCULLUM PIKE+OLIVER RD,Kenton,State Maintained Roads,01,35.0,1.664,Covington
008-CS-1254  -000,EWING BLVD,Boone,City Maintained Roads,04,30.0,0.825,Covington
059-KY-1072  -000,SLEEPY HOLLOW RD+DEVERILL ST,Kenton,State Maintained Roads,01,35.0,0.603,Covington
008-KY-0717  -000,TURFWAY RD,Boone,State Maintained Roads,01,45.0,1.998,Covington
019-KY-1996  -000,CARTHAGE RD+WASHINGTON TRACE RD+NEW RICHMOND RD,Campbell,State Maintained Roads,01,35.0,1.683,Covington
059-KY-0017  -000,MADISON PIKE,Kenton,State Maintained Roads,01,35.0,0.021,Covington
059-CS-6505  -000,HIGHWATER RD,Kenton,City Maintained Roads,04,35.0,0.045,Covington
059-CS-2074  -000,PHILADELPHIA ST,Kenton,City Maintained Roads,04,30.0,0.138,Covington
008-US-0042  -000,US-42,Boone,State Maintained Roads,01,40.0,1.481,Covington
008-CR-1057B -000,GARRARD ST,Boone,County Maintained Roads,02,25.0,0.191,Covington
008-CR-1311  -000,OLD GRAVES RD,Boone,County Maintained Roads,02,35.0,0.423,Covington
008-KY-0018  -000,BURLINGTON PIKE,Boone,State Maintained Roads,01,40.0,1.462,Covington
019-KY-0010  -000,W MAIN ST,Campbell,State Maintained Roads,01,45.0,0.967,Covington
059-CS-2098  -000,HIGHLAND PIKE,Kenton,City Maintained Roads,04,25.0,0.38,Covington
008-KY-0842C -000,QUADRANT RD,Boone,State Maintained Roads,01,35.0,0.141,Covington
059-CS-2345  -000,WEST 35TH ST,Kenton,City Maintained Roads,04,25.0,0.12,Covington
059-KY-0008  -000,PIKE ST,Kenton,State Maintained Roads,01,35.0,0.518,Covington
059-KY-0371  -000,AMSTERDAM RD,Kenton,State Maintained Roads,01,35.0,2.411,Covington
059-CS-2036  -000,JOHNSON ST,Kenton,City Maintained Roads,04,30.0,0.145,Covington
019-CS-2001  -000,RIVIERA DR,Campbell,City Maintained Roads,04,25.0,0.431,Covington
019-KY-0008  -000,MARY INGLES HWY,Campbell,State Maintained Roads,01,35.0,0.748,Covington
019-CR-1363  -000,COVERT RUN PIKE,Campbell,County Maintained Roads,02,25.0,0.475,Covington
008-KY-0008  -000,RIVER RD,Boone,State Maintained Roads,01,55.0,6.27,Covington
019-KY-1120  -000,MEMORIAL PKWY,Campbell,State Maintained Roads,01,35.0,0.248,Covington
059-KY-1120  -001,WEST 11TH ST,Kenton,State Maintained Roads,01,25.0,0.08,Covington
059-CS-5074  -000,FOUNDATION DR,Kenton,City Maintained Roads,04,20.0,0.451,Covington
059-CS-3878  -000,BEECHWOOD RD,Kenton,City Maintained Roads,04,35.0,0.175,Covington
059-US-0025  -000,CLAY WADE BAILEY BRIDGE,Kenton,State Maintained Roads,01,35.0,0.526,Covington
008-KY-0020  -000,PETERSBURG RD,Boone,State Maintained Roads,01,55.0,1.091,Covington
059-CS-9024  -000,GEORGE HUSER DR,Kenton,City Maintained Roads,04,25.0,0.13,Covington
059-CS-2437  -000,EAST 43RD ST,Kenton,City Maintained Roads,04,25.0,0.49,Covington
059-KY-0236  -000,COMMONWEALTH AVE,Kenton,State Maintained Roads,01,35.0,0.841,Covington
019-US-0027  -000,ALEXANDRIA PIKE,Campbell,State Maintained Roads,01,55.0,0.693,Covington
019-I -0275  -000,I-275,Campbell,State Maintained Roads,01,65.0,4.518,Covington
059-KY-0717  -000,TURFWAY RD,Kenton,State Maintained Roads,01,45.0,0.368,Covington
019-KY-0547  -000,FOUR MILE RD,Campbell,State Maintained Roads,01,35.0,0.598,Covington
059-KY-2373  -000,KENTON LANDS RD+ERLANGER-CRESCENT SPRINGS RD,Kenton,State Maintained Roads,01,35.0,1.094,Covington
008-KY-3503  -000,SAM NEACE DR,Boone,State Maintained Roads,01,45.0,0.693,Covington
008-I -0275  -000,I-275,Boone,State Maintained Roads,01,65.0,12.276,Covington
059-I -0075  -000,I-75,Kenton,State Maintained Roads,01,65.0,0.488,Covington
008-CS-1144  -000,MAIN ST,Boone,City Maintained Roads,04,25.0,0.534,Covington
059-CS-2135  -000,EAST 20TH ST,Kenton,City Maintained Roads,04,25.0,0.162,Covington
059-KY-3070  -000,HOWARD LITZLER DR,Kenton,State Maintained Roads,01,45.0,0.43,Covington
059-KY-1072  -000,HIGHLAND PIKE+KYLES LN,Kenton,State Maintained Roads,01,35.0,1.074,Covington
059-CR-1146  -000,INDEPENDENCE STATION RD,Kenton,County Maintained Roads,02,35.0,3.942,Covington
019-CS-9002  -000,SUNSET DR,Campbell,City Maintained Roads,04,20.0,0.669,Covington
019-CS-1087  -000,BRIGHTON ST,Campbell,City Maintained Roads,04,25.0,0.104,Covington
019-KY-0008X -000,E 3RD ST,Campbell,State Maintained Roads,01,30.0,0.182,Covington
019-KY-3490  -000,JOHNS HILL RD,Campbell,State Maintained Roads,01,35.0,0.207,Covington
059-KY-0177  -000,DECOURSEY PIKE+DECOURSEY AVE,Kenton,State Maintained Roads,01,45.0,1.749,Covington
008-CR-1052  -000,BULLITTSVILLE RD,Boone,County Maintained Roads,02,35.0,0.335,Covington
008-CR-1311  -000,OLD GRAVES RD,Boone,County Maintained Roads,02,35.0,0.408,Covington
059-CS-2093  -000,RUSSELL ST,Kenton,City Maintained Roads,04,15.0,0.073,Covington
059-CS-8039  -000,OLD TAYLOR MILL RD,Kenton,City Maintained Roads,04,35.0,0.218,Covington
059-CS-5076  -000,AUTUMN RD,Kenton,City Maintained Roads,04,35.0,0.022,Covington
008-KY-0536  -000,MT ZION RD,Boone,State Maintained Roads,01,45.0,1.024,Covington
